"id","nome","escopo","entregaveis","atividades","faturavel","contrato_id"
21,"Deploy do Modelo de Machine Learning","<p>Por disponibiliza&ccedil;&atilde;o</p>","<p>Disponibiliza&ccedil;&atilde;o do Modelo para utiliza&ccedil;&atilde;o direta ou integrada a outra solu&ccedil;&atilde;o; &nbsp;Relat&oacute;rio das atividades realizadas;&nbsp;</p>","<p>Disponibiliza&ccedil;&atilde;o do Modelo de Machine Learning a ser utilizado</p>",True,1
1,"Levantar Requisitos de Soluções Analíticas","<p>Por Funcionalidade / Est&oacute;ria de Usu&aacute;rio</p>","<p>Ficha de conceitua&ccedil;&atilde;o de informa&ccedil;&otilde;es ou outra documenta&ccedil;&atilde;o requisito detalhado; &nbsp;Relat&oacute;rio das atividades realizadas;&nbsp;</p>","<p>Preparar Material para Reuni&atilde;o e Participar de reuni&otilde;es para auxiliar no levantamento do modelo necess&aacute;rio.</p>",True,1
3,"Implementação de Rotina ETL - Dados Gerais","<p>Por rotina, at&eacute; 6 (seis) entidades fonte de dados</p>","<p>Processo ETL criado; &nbsp;Relat&oacute;rio das atividades realizadas;&nbsp;</p>","<p>An&aacute;lise e planejamento de rotina de ETL. Nesse caso deve ser avaliado o impacto no data lake ou DW.</p>",True,1
4,"Alteração de  processos / rotinas de ETL ","<p>Por evento, at&eacute; 6 (seis) entidades de dados</p>","<p>Scripts/procedimentos de ETL alterados e documenta&ccedil;&atilde;o pertinente; &nbsp;Relat&oacute;rio das atividades realizadas;&nbsp;</p>","<p>Altera&ccedil;&atilde;o e teste da rotina ou procedimento de ETL para adequa&ccedil;&atilde;o das regras de neg&oacute;cio e de apresenta&ccedil;&atilde;o necess&aacute;rias.</p>",True,1
5,"Criar modelos físicos nas Base de Dados","<p>Por modelo, at&eacute; 10 (dez) entidades</p>","<p>Modelo dos Objetos de dados a serem criados na base de dados e documenta&ccedil;&atilde;o pertinente; &nbsp;Relat&oacute;rio das atividades realizadas.&nbsp;</p>","<p>A &nbsp; partir dos modelos do AD gerar os modelos f&iacute;sicos no Banco de Dados dentro dos padr&otilde;es definidos na Metodologia, sempre buscando as melhoras pr&aacute;ticas e a melhor performance.</p>",True,1
7,"Implantar serviço / componente em ambiente BI e Big Data","<p>Por &nbsp;servi&ccedil;o / componente</p>","<p>Relat&oacute;rio de atividades;<br />Servi&ccedil;os ativos e operacionais</p>","<p>Instalar e configurar softwares&nbsp;</p>",True,1
8,"Configurar e Gerenciar Arquitetura BI","<p>Por integra&ccedil;&atilde;o de solu&ccedil;&otilde;es</p>","<p>Relat&oacute;rio de atividades<br />Servi&ccedil;os ativos e operacionais</p>","<p>Instalar e atualizar o ambiente de BI. Definir estrutura f&iacute;sica, monitorar performance do ambiente, verificar logs de erros, etc.</p>",True,1
9,"Verificar diáriamente o funcionamento das aplicações de BI","<p>Por atividade</p>","<p>Relat&oacute;rio de atividades</p>","<p>Verifificar e reparar os possiveis erros das solu&ccedil;&otilde;es de BI</p>",True,1
10,"Monitorar Camada de ETL e de Integração de dados","<p>Por atividade</p>","<p>Relat&oacute;rio das atividades realizadas.</p>","<p>Monitorar camada de ETL e de integra&ccedil;&atilde;o em produ&ccedil;&atilde;o e, caso necess&aacute;rio, abrir incidente para solu&ccedil;&atilde;o de problemas encontrados.</p>",True,1
12,"Atualizar as versões de produtos que compõem o ambiente de BI","<p>Por evento de configura&ccedil;&otilde;es</p>","<p>Relat&oacute;rio das atualiza&ccedil;&otilde;es realizadas.</p>","<p>Atualizar o ambiente aplicando as configura&ccedil;&otilde;es necess&aacute;rias e colocar o ambiente em produ&ccedil;&atilde;o novamente.</p>",True,1
13,"Configurar/Gerenciar Segurança ambiente BI","<p>Por ocorr&ecirc;ncias de &nbsp;Inclus&atilde;o de usu&aacute;rios em grupo de permiss&atilde;o ou<br />conces&atilde;o de privil&eacute;gios;</p>","<p>Relat&oacute;rio das atividades realizadas;&nbsp;</p>","<p>Criar grupos; usu&aacute;rios e conceder as devidas permiss&otilde;es &nbsp;que garantam o acesso e &nbsp;seguran&ccedil;a do ambiente&nbsp;</p>",True,1
14,"Criar Modelo de Dados","<p>Por cria&ccedil;&atilde;o, at&eacute; 10 (dez) novas entidades</p>","<p>Modelos de Dados , documenta&ccedil;&atilde;o pertinente e relat&oacute;rio da avalia&ccedil;&atilde;o, validando os padr&otilde;es (nomeclatura, por exemplo)</p>","<p>Criar e documentar Modelo de Dados observando os padr&otilde;es adotados.</p>",True,1
16,"Serviço de Apoio e Consultoria","<p>Por hora de consultoria</p>","<p>Consultoria realizada; &nbsp;Relat&oacute;rio das atividades realizadas</p>","<p>Administra&ccedil;&atilde;o, monitoramento, configura&ccedil;&atilde;o, atualiza&ccedil;&atilde;o das &nbsp;ferramentas de monitoramento</p>",True,1
17,"Realizar estudo e prospecção de novas soluções","<p>Por hora estudo</p>","<p>Documenta&ccedil;&atilde;o dos testes realizados e apresenta&ccedil;&atilde;o de resultados; &nbsp;Relat&oacute;rio das atividades realizadas;&nbsp;</p>","<p>Testes diversos, de acordo com a demanda, e avalia&ccedil;&atilde;o das funcionalidades.</p>",True,1
18,"Treinamentos / Workshops / Apresentações Técnicas / Repasse de Conhecimento","<p>Por hora de treinamento, apresenta&ccedil;&atilde;o ou repasse tecnol&oacute;gico.</p>","<p>Slides e manuais (se aplic&aacute;veis).</p>","<p>Apresenta&ccedil;&otilde;es, treinamentos e workshops voltados para disseminar / repassar conhecimentos t&eacute;cnicos de ferramentas utilizadas, novas tecnologias, padr&otilde;es e metodologias empregadas.</p>",True,1
2,"Desenvolver Visões em  Solução Analítica - Dashboard, por análise / Visão","<p>Por vis&atilde;o envolvendo at&eacute; 10 (dez) entidades&nbsp;</p>","<p>Dispinibiliza&ccedil;&atilde;o de An&aacute;lise, em solu&ccedil;&atilde;o de visualiza&ccedil;&atilde;o de dados, que permita analisar os dados processados e como ser&aacute; o comportamento desses dados na solu&ccedil;&atilde;o; &nbsp;Relat&oacute;rio das atividades realizadas;&nbsp;</p>","<p>Desenvolver, em solu&ccedil;&atilde;o An&aacute;litica, forma de visualiza&ccedil;&atilde;o dos dados, mesmo que diferente da definitiva</p>",True,1
19,"Análise exploratória dos dados","<p>Por an&aacute;lise de dados</p>","<p>Documenta&ccedil;&atilde;o relativa aos dados / Vari&aacute;ries dispon&iacute;veis / Qualidade dos dados / Estrat&eacute;gias de tratamento/ Perfil dos dados; &nbsp;Relat&oacute;rio das atividades realizadas;&nbsp;</p>","<p>An&aacute;lise, testes estrat&eacute;gicos para defini&ccedil;&atilde;o de estrat&eacute;gia, gera&ccedil;&atilde;o de Perfil dos dados</p>",True,1
