"id","objetivo_id","numero","titulo","descricao","unidade_adm_id"
"7","2","2","Garantir tempo médio de sessão ≥ 3 minutos entre usuários ativos sem considerar os usuários administrativos","","42"
"9","2","4","Atingir uma média de pelo menos 120 acessos diários na área logada","","42"
"11","3","2","Implantar e operacionalizar um processo formal de gestão de riscos, incluindo matriz de riscos e planos de ação e mitigação, catálogo de severidade e registro centralizado de incidentes","","42"
"3","1","3","Entregar em produção a primeira versão da arquitetura Hub Saúde, com pelo menos 1 integração externa (ex.: Laboratório Rômulo Rocha e LME Fácil)","<div class=""docos-collapsible-replyview""> <div class=""docos-replyview-static""> <div class=""docos-replyview-body docos-anchoredreplyview-body docos-replyview-body-emoji-reactable"" dir=""ltr"">O escopo precisa deixar claro quais componentes estar&atilde;o na primeira vers&atilde;o.</div> </div> </div>","42"
"1","1","1","Institucionalizar o Núcleo de Padronização de Informação em Saúde no Estado de Goiás","<p><span style=""font-weight: 400;"">Publica&ccedil;&atilde;o da portaria que institui o n&uacute;cleo e define seus membros</span></p>","42"
"2","1","2","Publicar e divulgar 100% dos Modelos de Informação finalizados em ferramenta própria de gestão dos artefatos informacionais e computacionais necessários para a interoperabilidade","<ul> <li aria-level=""2""><span style=""font-weight: 400;"">Desenvolvimento da plataforma</span></li> <li aria-level=""2"">Registro dos MIs</li> <li aria-level=""2"">Deploy no fhir.saude.go.gov.br</li> </ul>","42"
"8","2","3","Publicar 12 novos painéis institucionais, homologados pela área de negócio, com pelo menos 50 acessos mensais cada","","42"
"5","1","5","Desenvolver e publicar pelo menos 1 dashboard que tenha como fonte de dados a Federalização RNDS, demonstrando capacidade de leitura e análise de dados  em FHIR","<ul> <li style=""font-weight: 400;"" aria-level=""2""><span style=""font-weight: 400;"">Defini&ccedil;&atilde;o e estrutura&ccedil;&atilde;o do fluxo (processo) de analytics</span></li> <li style=""font-weight: 400;"" aria-level=""2""><span style=""font-weight: 400;"">Desenvolver e disponibilizar o painel em produ&ccedil;&atilde;o</span></li> </ul>","42"
"6","2","1","Alcançar pelo menos 300 usuários ativos (login nos últimos 30 dias e conta criada há mais de 3 meses)","<ul> <li style=""font-weight: 400;"" aria-level=""2""><span style=""font-weight: 400;"">Desenvolver o processo de armazenamento (log) de acesso a plataforma</span></li> </ul>","42"
"10","3","1","Garantir ≥ 98% de uptime nas principais ferramentas do cluster de Big Data","<p>Quais s&atilde;o os principais servi&ccedil;os? Como medir?</p> <p><span style=""font-weight: 400;"">(downtime de at&eacute; 03:21:30 por semana, exceto interrup&ccedil;&otilde;es programadas)</span></p>","42"
"12","3","3","Implementar camada de autorização para acesso ao data lake por meio de perfis e políticas de segurança","<p><span style=""font-weight: 400;"">Realizar os testes de libera&ccedil;&atilde;o de acesso nos n&iacute;veis de tabelas, linha e coluna considerando anonimiza&ccedil;&atilde;o.</span></p>","42"
"13","3","4","Entregar ambiente de redundância para aplicações críticas, incluindo o Mapa de Leitos, com failover realizado com sucesso (tempo de indisponibilidade ≤ 1 hora)","<p><span style=""font-weight: 400;"">Obs: N&atilde;o incluso banco de dados (ex: MariaDB e PostgreSQL)</span></p>","42"
